covered_points,tot_points,k
10,1022,1
6,1022,1
9,1022,1
6,1022,1
8,1022,1
5,1022,1
8,1022,1
8,1022,1
5,1022,1
5,1022,1
6,1022,1
5,1022,1
7,1022,1
9,1022,1
6,1022,1
10,1022,1
10,1022,1
6,1022,1
3,1022,1
8,1022,1
6,1022,1
1,1022,1
5,1022,1
12,1022,1
9,1022,1
15,1022,1
14,1022,1
1,1022,1
7,1022,1
12,1022,1
3,1022,1
5,1022,1
7,1022,1
6,1022,1
6,1022,1
20,1022,1
12,1022,1
7,1022,1
2,1022,1
7,1022,1
6,1022,1
3,1022,1
6,1022,1
10,1022,1
10,1022,1
6,1022,1
9,1022,1
4,1022,1
7,1022,1
12,1022,1
14,1022,1
5,1022,1
10,1022,1
5,1022,1
7,1022,1
13,1022,1
9,1022,1
8,1022,1
7,1022,1
3,1022,1
9,1022,1
10,1022,1
12,1022,1
14,1022,1
10,1022,1
5,1022,1
6,1022,1
12,1022,1
7,1022,1
6,1022,1
8,1022,1
9,1022,1
7,1022,1
11,1022,1
12,1022,1
5,1022,1
4,1022,1
5,1022,1
11,1022,1
10,1022,1
7,1022,1
3,1022,1
2,1022,1
7,1022,1
4,1022,1
12,1022,1
11,1022,1
13,1022,1
5,1022,1
4,1022,1
9,1022,1
12,1022,1
10,1022,1
5,1022,1
10,1022,1
8,1022,1
3,1022,1
12,1022,1
11,1022,1
5,1022,1
7,1022,1
7,1022,1
14,1022,1
5,1022,1
11,1022,1
6,1022,1
4,1022,1
7,1022,1
10,1022,1
5,1022,1
8,1022,1
4,1022,1
9,1022,1
9,1022,1
9,1022,1
9,1022,1
7,1022,1
6,1022,1
5,1022,1
9,1022,1
9,1022,1
11,1022,1
10,1022,1
7,1022,1
6,1022,1
8,1022,1
6,1022,1
3,1022,1
2,1022,1
7,1022,1
15,1022,1
8,1022,1
7,1022,1
11,1022,1
7,1022,1
9,1022,1
12,1022,1
11,1022,1
7,1022,1
14,1022,1
11,1022,1
6,1022,1
11,1022,1
5,1022,1
7,1022,1
7,1022,1
3,1022,1
9,1022,1
6,1022,1
4,1022,1
1,1022,1
10,1022,1
13,1022,1
5,1022,1
8,1022,1
8,1022,1
5,1022,1
11,1022,1
7,1022,1
9,1022,1
5,1022,1
10,1022,1
4,1022,1
11,1022,1
4,1022,1
5,1022,1
9,1022,1
6,1022,1
11,1022,1
10,1022,1
5,1022,1
2,1022,1
8,1022,1
12,1022,1
6,1022,1
7,1022,1
3,1022,1
8,1022,1
9,1022,1
4,1022,1
6,1022,1
8,1022,1
13,1022,1
19,1022,1
10,1022,1
5,1022,1
11,1022,1
7,1022,1
9,1022,1
11,1022,1
9,1022,1
6,1022,1
10,1022,1
3,1022,1
12,1022,1
8,1022,1
12,1022,1
14,1022,1
6,1022,1
5,1022,1
6,1022,1
6,1022,1
13,1022,1
13,1022,1
11,1022,1
11,1022,1
7,1022,1
11,1022,1
7,1022,1
8,1022,1
5,1022,1
5,1022,1
6,1022,1
7,1022,1
17,1022,1
6,1022,1
12,1022,1
7,1022,1
7,1022,1
10,1022,1
3,1022,1
2,1022,1
9,1022,1
4,1022,1
12,1022,1
4,1022,1
4,1022,1
8,1022,1
13,1022,1
11,1022,1
5,1022,1
4,1022,1
11,1022,1
5,1022,1
3,1022,1
10,1022,1
11,1022,1
9,1022,1
5,1022,1
9,1022,1
7,1022,1
5,1022,1
11,1022,1
7,1022,1
11,1022,1
10,1022,1
10,1022,1
8,1022,1
8,1022,1
3,1022,1
3,1022,1
8,1022,1
8,1022,1
7,1022,1
10,1022,1
8,1022,1
14,1022,1
8,1022,1
11,1022,1
5,1022,1
6,1022,1
8,1022,1
16,1022,1
3,1022,1
10,1022,1
6,1022,1
12,1022,1
6,1022,1
10,1022,1
10,1022,1
11,1022,1
5,1022,1
10,1022,1
9,1022,1
6,1022,1
8,1022,1
5,1022,1
10,1022,1
7,1022,1
9,1022,1
8,1022,1
1,1022,1
16,1022,1
11,1022,1
10,1022,1
9,1022,1
7,1022,1
2,1022,1
6,1022,1
10,1022,1
8,1022,1
11,1022,1
2,1022,1
4,1022,1
13,1022,1
9,1022,1
11,1022,1
1,1022,1
12,1022,1
4,1022,1
3,1022,1
8,1022,1
10,1022,1
11,1022,1
8,1022,1
7,1022,1
6,1022,1
7,1022,1
11,1022,1
8,1022,1
1,1022,1
11,1022,1
7,1022,1
13,1022,1
11,1022,1
7,1022,1
5,1022,1
7,1022,1
6,1022,1
4,1022,1
10,1022,1
9,1022,1
6,1022,1
11,1022,1
14,1022,1
7,1022,1
5,1022,1
7,1022,1
4,1022,1
10,1022,1
7,1022,1
7,1022,1
10,1022,1
7,1022,1
16,1022,1
6,1022,1
10,1022,1
8,1022,1
7,1022,1
6,1022,1
12,1022,1
4,1022,1
7,1022,1
16,1022,1
6,1022,1
8,1022,1
13,1022,1
10,1022,1
7,1022,1
9,1022,1
12,1022,1
9,1022,1
9,1022,1
9,1022,1
6,1022,1
9,1022,1
7,1022,1
9,1022,1
16,1022,1
7,1022,1
2,1022,1
13,1022,1
5,1022,1
5,1022,1
5,1022,1
13,1022,1
5,1022,1
5,1022,1
7,1022,1
9,1022,1
6,1022,1
6,1022,1
12,1022,1
10,1022,1
11,1022,1
6,1022,1
6,1022,1
6,1022,1
4,1022,1
5,1022,1
5,1022,1
4,1022,1
7,1022,1
10,1022,1
13,1022,1
10,1022,1
17,1022,1
10,1022,1
7,1022,1
8,1022,1
13,1022,1
8,1022,1
9,1022,1
6,1022,1
13,1022,1
9,1022,1
10,1022,1
4,1022,1
10,1022,1
10,1022,1
13,1022,1
5,1022,1
4,1022,1
3,1022,1
12,1022,1
6,1022,1
9,1022,1
5,1022,1
5,1022,1
8,1022,1
4,1022,1
7,1022,1
8,1022,1
6,1022,1
8,1022,1
11,1022,1
8,1022,1
11,1022,1
17,1022,1
8,1022,1
11,1022,1
10,1022,1
9,1022,1
7,1022,1
6,1022,1
13,1022,1
11,1022,1
4,1022,1
5,1022,1
6,1022,1
10,1022,1
4,1022,1
5,1022,1
6,1022,1
6,1022,1
12,1022,1
6,1022,1
10,1022,1
11,1022,1
6,1022,1
6,1022,1
6,1022,1
10,1022,1
4,1022,1
13,1022,1
5,1022,1
11,1022,1
3,1022,1
6,1022,1
6,1022,1
8,1022,1
9,1022,1
5,1022,1
